Arvore,Lista
1,1
1,1
1,2
1,2
2,2
2,3
3,4
3,4
3,5
3,5
3,6
3,6
3,7
3,8
3,9
3,10
4,10
4,11
4,12
4,12
4,12
4,13
4,13
4,13
4,13
4,14
4,15
4,16
4,16
4,17
4,18
4,18
4,18
4,18
5,19
5,19
5,20
5,21
5,21
5,21
5,23
5,23
5,23
5,24
5,24
5,25
5,25
5,25
5,26
5,26
5,27
5,28
5,28
5,29
5,30
5,30
5,30
5,31
5,32
5,33
5,34
5,34
5,35
6,35
6,36
6,37
6,38
6,38
6,39
6,40
6,41
6,42
6,42
6,43
6,43
6,44
6,44
6,45
6,46
6,47
6,47
6,48
6,48
6,48
6,48
6,49
6,50
6,50
6,51
6,52
6,53
6,53
6,54
6,54
6,54
6,55
6,55
6,56
6,56
6,57
6,58
6,58
6,59
6,59
6,59
6,60
6,60
7,60
7,61
7,62
7,62
7,63
7,63
7,64
7,65
7,66
7,67
7,67
7,68
7,69
7,70
7,70
7,71
7,71
7,72
7,73
7,74
7,74
7,74
7,74
7,75
7,75
7,76
7,77
7,77
7,78
7,78
7,79
7,80
7,80
7,80
7,81
7,81
7,81
7,82
7,83
7,83
7,83
7,83
7,84
7,84
7,85
7,85
7,86
7,86
7,86
7,86
7,87
7,88
7,88
7,89
7,90
7,90
7,90
7,91
7,92
7,93
7,93
7,94
7,94
7,94
7,95
7,96
7,96
7,97
7,97
7,98
7,99
7,99
7,100
7,100
7,101
7,101
7,103
8,103
8,103
8,103
8,103
8,104
8,104
8,105
8,105
8,106
8,106
8,107
8,107
8,108
8,110
8,111
8,111
8,111
8,112
8,112
8,112
8,113
8,114
8,115
8,116
8,116
8,117
8,118
8,119
8,120
8,120
8,120
8,121
8,121
8,122
8,123
8,124
8,124
8,125
8,126
8,127
8,128
8,129
8,129
8,130
8,131
8,131
8,132
8,133
8,134
8,134
8,134
8,135
8,135
8,136
8,136
8,137
8,137
8,138
8,138
8,138
8,139
8,139
8,140
8,140
8,142
8,143
8,144
8,146
8,146
8,146
8,147
8,147
8,147
8,148
8,148
8,149
8,149
8,149
8,150
8,150
8,150
8,151
8,152
8,152
8,152
8,153
8,153
8,154
8,155
8,155
8,156
8,158
8,158
8,158
8,159
8,159
8,159
8,161
8,161
8,162
8,162
8,162
8,162
8,163
8,164
8,164
9,166
9,167
9,167
9,167
9,168
9,168
9,169
9,170
9,170
9,172
9,173
9,173
9,174
9,174
9,177
9,177
9,178
9,179
9,179
9,180
9,180
9,180
9,181
9,181
9,182
9,183
9,184
9,184
9,186
9,186
9,187
9,187
9,187
9,187
9,188
9,189
9,189
9,189
9,191
9,191
9,192
9,193
9,193
9,194
9,194
9,195
9,196
9,197
9,198
9,198
9,199
9,199
9,200
9,200
9,202
9,202
9,203
9,204
9,205
9,205
9,205
9,206
9,206
9,206
9,208
9,209
9,209
9,209
9,210
9,210
9,211
9,212
9,213
9,214
9,214
9,214
9,215
9,215
9,216
9,217
9,217
9,218
9,220
9,220
9,222
9,223
9,223
9,223
9,224
9,225
9,226
9,227
9,227
9,228
9,229
9,230
9,230
9,234
9,234
9,234
9,235
9,236
9,236
9,236
9,237
9,238
